yvar,xvar
Secondary branches,14
Secondary branches,10
Secondary branches,10
Secondary branches,9
Secondary branches,8
Secondary branches,12
Secondary branches,8
Secondary branches,9
Secondary branches,12
Secondary branches,9
Secondary branches,11
Secondary branches,14
Secondary branches,13
Secondary branches,17
Secondary branches,10
Secondary branches,14
Secondary branches,8
Secondary branches,7
Secondary branches,9
Secondary branches,18
Secondary branches,16
Secondary branches,8
Secondary branches,12
Secondary branches,8
Secondary branches,16
Secondary branches,11
Secondary branches,12
Secondary branches,11
Secondary branches,11
Secondary branches,12
Trifol leaves/plant,22
Trifol leaves/plant,15
Trifol leaves/plant,21
Trifol leaves/plant,12
Trifol leaves/plant,12
Trifol leaves/plant,22
Trifol leaves/plant,12
Trifol leaves/plant,27
Trifol leaves/plant,20
Trifol leaves/plant,22
Trifol leaves/plant,19
Trifol leaves/plant,26
Trifol leaves/plant,27
Trifol leaves/plant,33
Trifol leaves/plant,17
Trifol leaves/plant,25
Trifol leaves/plant,22
Trifol leaves/plant,18
Trifol leaves/plant,24
Trifol leaves/plant,23
Trifol leaves/plant,21
Trifol leaves/plant,20
Trifol leaves/plant,24
Trifol leaves/plant,29
Trifol leaves/plant,34
Trifol leaves/plant,25
Trifol leaves/plant,29
Trifol leaves/plant,24
Trifol leaves/plant,28
Trifol leaves/plant,23
Nodes/plant,6
Nodes/plant,6
Nodes/plant,2
Nodes/plant,5
Nodes/plant,5
Nodes/plant,2
Nodes/plant,5
Nodes/plant,1
Nodes/plant,4
Nodes/plant,5
Nodes/plant,5
Nodes/plant,7
Nodes/plant,6
Nodes/plant,5
Nodes/plant,6
Nodes/plant,2
Nodes/plant,4
Nodes/plant,3
Nodes/plant,6
Nodes/plant,2
Nodes/plant,3
Nodes/plant,4
Nodes/plant,7
Nodes/plant,7
Nodes/plant,8
Nodes/plant,7
Nodes/plant,8
Nodes/plant,8
Nodes/plant,7
Nodes/plant,7
Internodal length (cm),3.7
Internodal length (cm),2.9
Internodal length (cm),0.5
Internodal length (cm),2.2
Internodal length (cm),2.4
Internodal length (cm),1
Internodal length (cm),2.3
Internodal length (cm),1
Internodal length (cm),1
Internodal length (cm),2.3
Internodal length (cm),1.67
Internodal length (cm),3
Internodal length (cm),1.83
Internodal length (cm),1.3
Internodal length (cm),3.83
Internodal length (cm),0.5
Internodal length (cm),0.67
Internodal length (cm),0.5
Internodal length (cm),1
Internodal length (cm),0.67
Internodal length (cm),0.3
Internodal length (cm),0.8
Internodal length (cm),1.5
Internodal length (cm),2.3
Internodal length (cm),2
Internodal length (cm),2
Internodal length (cm),2.5
Internodal length (cm),3
Internodal length (cm),2.67
Internodal length (cm),1.5
