variables,values
A,2.5
A,3.23
A,4.6
A,2.28
A,5.67
A,7.12
A,4.33
A,3.58
A,3.26
A,4.55
A,8.22
A,7.56
A,6.52
A,8.42
A,9.25
A,6.33
A,1.56
A,2.22
A,6.33
A,5.12
B,5.02
B,4.63
B,5.12
B,8.63
B,4.52
B,2.23
B,4.25
B,7.22
B,4.55
B,1.26
B,4.33
B,5.26
B,8.21
B,9.25
B,4.62
B,5.96
B,7.22
B,4.65
B,2.66
B,4.44
C,6.25
C,4.52
C,4.82
C,4.56
C,7.52
C,4.12
C,5.26
C,4.33
C,1.52
C,6.25
C,4.25
C,1.25
C,9.62
C,4.25
C,4.36
C,7.12
C,1.22
C,4.35
C,6.23
C,5.26
D,5.44
D,7.85
D,9.54
D,6.25
D,8.52
D,4.12
D,5.26
D,5.66
D,4.89
D,7.65
D,4.82
D,5.63
D,4.25
D,4.26
D,5.66
D,8.32
D,4.95
D,7.23
D,8.25
D,4.66
