Education,Farming Experience ,Size  ,Economic Motivation ,area under cultivation ,Self confidence , source utilization,risk orientation,market orientation ,Social participation , solving ability
3,2,3,16,3,23,41,8,23,2,23
0,3,2,22,2,17,21,12,12,3,15
0,3,2,24,2,21,32,9,18,3,36
1,1,3,24,3,19,21,11,17,6,24
0,1,2,23,3,21,21,7,21,3,24
0,3,2,24,1,22,21,10,25,3,26
0,3,3,21,3,24,21,11,12,2,21
4,3,3,21,3,32,30,9,16,3,22
0,2,3,17,3,16,21,8,19,4,13
0,2,2,24,2,24,21,9,14,3,27
0,3,3,23,1,16,21,8,18,3,29
0,3,3,28,3,21,21,9,21,2,25
4,3,2,24,3,24,28,8,15,3,26
0,2,3,21,3,24,21,9,17,4,19
0,3,2,18,3,16,21,9,19,3,18
0,3,3,24,3,22,27,8,16,3,24
0,2,3,23,1,16,21,8,14,2,36
0,2,2,27,3,21,27,9,12,3,34
2,2,3,19,3,24,21,11,18,2,31
4,2,2,21,3,16,21,10,16,3,28
0,2,3,24,2,16,21,8,17,6,24
0,3,3,22,3,16,29,9,19,3,26
0,3,3,24,3,21,21,10,12,3,22
0,3,2,23,3,16,39,8,21,2,24
3,3,2,15,3,14,24,9,16,3,27
0,1,2,24,1,24,21,8,18,3,26
0,1,3,26,2,23,21,9,17,4,23
4,3,2,21,3,24,21,10,16,3,28
0,2,2,25,3,24,21,8,19,6,37
0,3,3,12,3,31,32,11,15,3,11
0,3,3,26,3,16,21,12,21,3,17
1,1,3,24,2,16,19,8,21,3,15
0,3,1,25,1,21,21,9,18,6,24
0,3,3,24,2,24,21,11,19,3,26
0,3,2,22,2,26,32,12,18,3,27
3,3,1,23,2,21,21,9,15,3,18
0,3,3,25,3,32,21,9,16,3,16
0,2,3,22,3,19,21,10,14,4,23
2,3,2,24,2,17,42,8,19,3,28
0,2,3,23,2,25,21,9,18,3,18
0,3,3,15,1,16,21,8,21,3,16
1,3,2,24,2,16,24,11,12,2,16
0,3,3,26,3,16,21,9,16,3,21
1,2,3,21,3,18,21,8,18,3,24
0,2,2,24,2,16,21,9,19,2,26
0,3,3,21,2,16,27,11,17,3,28
1,2,3,21,2,15,21,9,19,3,24
0,2,2,17,3,26,28,8,24,2,23
1,2,3,24,3,21,21,9,25,3,19
0,3,3,23,2,32,21,8,11,3,35
0,3,3,16,2,19,21,9,15,2,31
2,3,3,22,3,17,21,8,14,3,21
0,2,2,24,3,25,21,9,16,2,26
4,3,3,24,3,16,21,10,17,3,27
0,1,3,23,3,16,21,10,12,3,18
1,3,3,22,3,16,18,10,17,4,13
0,3,3,16,2,18,21,11,19,3,38
0,1,2,21,3,16,21,11,15,2,25
1,3,3,24,2,24,25,9,28,2,26
0,3,2,23,2,21,21,8,18,4,27
